اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
خالد العنزي;23;هجوم;82;80.87;5;3;70.25;32.18;11.22;141;27.30;50.31;موهوب
ناصر القحطاني;25;دفاع;25;73.49;6;4;44.09;27.15;6.34;131;26.91;38.22;غير موهوب
خالد الغامدي;20;هجوم;6;80.53;7;5;69.23;24.65;8.70;155;26.77;42.54;غير موهوب
فهد القحطاني;22;وسط;70;79.82;7;3;56.15;24.33;10.00;164;42.80;50.79;موهوب
أحمد البلوي;29;دفاع;83;68.97;5;4;88.39;27.78;8.82;170;19.60;52.84;موهوب
سعود الحربي;24;هجوم;56;88.05;5;4;83.95;31.10;6.22;172;26.65;52.55;موهوب
تركي العنزي;24;حارس;9;64.56;4;0;60.39;29.86;10.12;159;31.10;40.89;غير موهوب
عبدالله العنزي;19;وسط;35;92.63;3;0;75.72;32.22;8.43;141;22.94;45.66;موهوب
خالد الحربي;17;حارس;25;64.44;10;6;76.27;24.54;7.50;173;10.93;44.19;غير موهوب
عبدالله العتيبي;25;حارس;27;68.79;3;0;55.62;32.38;10.07;139;38.44;41.59;غير موهوب
عبدالله الحربي;28;حارس;46;89.94;0;0;59.85;26.35;9.42;132;40.48;44.89;غير موهوب
محمد الرويلي;29;دفاع;58;92.12;1;0;59;32.11;8.88;128;42.12;46.80;موهوب
سعود الرويلي;23;هجوم;66;89.40;2;3;73.4;25.16;10.41;163;32.20;51.62;موهوب
خالد العتيبي;19;دفاع;42;88.30;7;5;86.16;26.15;6.58;167;41.98;52.24;موهوب
خالد البلوي;21;هجوم;64;62.67;4;0;73.39;26.82;9.80;155;23.76;46.60;موهوب
سالم القحطاني;22;هجوم;33;82.84;3;4;46.72;31.08;7.24;176;25.57;45.49;موهوب
ناصر الحربي;27;هجوم;81;69.75;4;1;51.69;28.09;8.29;150;11.95;45.09;موهوب
خالد الغامدي;18;هجوم;21;93.92;4;4;48.68;26.69;10.15;175;34.08;46.39;موهوب
خالد الزهراني;22;هجوم;26;62.24;4;2;79.16;32.07;10.03;145;46.90;45.27;موهوب
خالد القحطاني;20;حارس;46;93.49;9;2;85.67;29.12;7.67;172;39.08;53.78;موهوب
أحمد العتيبي;26;دفاع;64;93.04;8;3;53.7;25.17;9.35;159;33.47;49.86;موهوب
عبدالله الحربي;27;هجوم;54;94.85;10;1;80.5;26.30;8.58;174;49.03;55.36;موهوب
تركي العتيبي;29;هجوم;40;74.53;0;0;82.63;31.32;9.77;149;14.28;44.61;غير موهوب
عبدالله القحطاني;21;وسط;12;76.42;5;2;73.46;29.24;9.63;147;27.82;42.51;غير موهوب
فهد الشمري;26;وسط;58;81.21;10;1;58.25;24.40;6.39;149;32.33;46.73;موهوب
تركي الشمري;21;دفاع;83;67.21;5;3;49.61;27.58;10.61;153;21.12;46.68;موهوب
محمد البلوي;21;وسط;53;74.76;10;5;54.23;25.65;9.55;156;30.51;46.52;موهوب
عبدالله العنزي;28;دفاع;66;89.35;0;1;51.19;30.44;10.43;127;29.46;44.99;غير موهوب
ناصر الزهراني;19;وسط;29;65.29;5;0;79.93;27.83;9.59;151;49.74;46.38;موهوب
محمد الزهراني;18;حارس;75;69.39;6;2;62.7;32.53;7.06;125;35.72;46.16;موهوب
محمد الشمري;28;دفاع;25;84.93;8;5;61.11;30.29;7.78;154;42.27;46.49;موهوب
ناصر العتيبي;24;حارس;52;92.56;0;1;85.99;31.93;7.70;131;41.48;49.30;موهوب
سعود الرويلي;15;هجوم;61;82.39;9;5;70.37;27.00;7.13;142;39.57;49.27;موهوب
خالد الشمري;23;دفاع;95;80.32;0;1;74.96;33.10;7.01;120;46.73;50.90;موهوب
راكان العنزي;20;حارس;73;61.43;12;4;41.19;27.78;7.89;154;37.68;46.55;موهوب
أحمد القحطاني;23;دفاع;25;74.48;3;2;86.43;29.25;6.06;133;24.52;42.64;غير موهوب
خالد الرويلي;24;دفاع;93;83.98;3;0;58.42;25.70;10.42;154;39.73;52.03;موهوب
عبدالله الزهراني;24;هجوم;69;65.07;2;1;82.03;28.69;10.37;123;31.71;45.87;موهوب
محمد البلوي;29;دفاع;64;63.04;8;5;75.15;32.95;8.00;126;50.77;48.10;موهوب
أحمد القحطاني;19;حارس;22;62.44;1;1;48.81;24.72;7.15;176;35.73;42.09;غير موهوب
سالم المالكي;23;وسط;55;89.52;6;3;70.09;31.81;10.28;128;48.32;49.11;موهوب
تركي الحربي;19;هجوم;68;86.52;6;0;69.6;28.11;9.65;180;12.53;51.16;موهوب
خالد المالكي;23;هجوم;65;83.00;8;3;61.25;30.45;8.14;165;21.62;49.50;موهوب
أحمد القحطاني;19;دفاع;30;76.38;9;0;68.89;31.31;6.75;180;38.08;48.93;موهوب
محمد المالكي;21;هجوم;67;83.76;10;1;52.69;34.55;6.75;163;49.94;52.08;موهوب
عبدالله الرويلي;22;هجوم;67;64.45;1;0;56.91;31.55;7.63;155;40.81;47.15;موهوب
عبدالله الغامدي;16;حارس;12;87.29;4;0;86.93;29.80;6.75;178;35.89;48.96;موهوب
راكان العنزي;22;دفاع;82;79.36;0;0;63.24;31.86;7.22;136;48.50;49.80;موهوب
فهد العنزي;19;دفاع;15;67.85;2;1;53.28;29.37;6.69;118;48.45;37.96;غير موهوب
خالد العتيبي;26;حارس;81;81.82;8;6;76.66;30.42;9.48;136;23.56;50.33;موهوب
تركي العتيبي;28;حارس;54;79.56;8;3;45.88;24.20;10.59;126;41.53;43.64;غير موهوب
محمد البلوي;27;وسط;50;76.63;4;2;86.97;27.08;8.06;141;20.65;46.27;موهوب
محمد الرويلي;17;حارس;8;60.36;6;1;49.81;33.08;11.05;164;20.45;39.31;غير موهوب
تركي الشمري;20;دفاع;70;62.44;5;5;53.32;25.79;10.36;164;23.90;46.65;موهوب
محمد البلوي;26;دفاع;59;81.87;11;1;48.76;28.21;11.27;168;37.24;49.59;موهوب
راكان البلوي;25;حارس;67;79.68;10;5;42.31;33.17;8.54;159;46.60;50.14;موهوب
ناصر المالكي;18;دفاع;41;63.70;3;1;62.21;33.08;11.27;169;49.35;48.18;موهوب
محمد العنزي;25;حارس;21;61.00;2;0;83.63;25.21;9.91;173;44.92;46.74;موهوب
تركي المالكي;22;دفاع;63;71.83;5;2;85.1;27.67;8.01;162;34.41;51.00;موهوب
ناصر القحطاني;25;وسط;92;89.18;0;1;78.35;29.53;6.68;168;16.19;53.44;موهوب
خالد الزهراني;23;هجوم;81;86.55;5;1;64.08;28.19;8.58;169;25.82;52.14;موهوب
تركي الشمري;21;هجوم;14;83.01;6;2;57.56;33.78;10.07;125;36.80;40.91;غير موهوب
خالد المالكي;21;دفاع;63;90.43;2;1;80.33;26.21;10.81;170;27.98;52.42;موهوب
سعود الرويلي;17;دفاع;17;81.49;2;2;89.95;29.60;9.12;154;18.93;44.90;غير موهوب
أحمد الغامدي;19;وسط;78;63.64;8;1;77.92;30.74;6.64;126;24.13;46.23;موهوب
تركي العتيبي;26;حارس;84;69.89;0;0;85.23;30.96;8.60;127;35.55;49.03;موهوب
فهد الحربي;22;هجوم;29;64.04;8;4;65.14;30.57;7.65;144;21.42;41.53;غير موهوب
أحمد الحربي;24;حارس;5;65.31;8;1;48.3;24.90;9.78;152;36.98;39.03;غير موهوب
ناصر الرويلي;21;دفاع;49;63.15;7;3;75.57;29.71;8.65;174;39.39;49.94;موهوب
تركي الغامدي;18;دفاع;55;70.56;6;2;48.41;32.48;11.00;134;22.52;42.44;غير موهوب
خالد الحربي;21;وسط;81;91.35;0;2;54.41;31.68;11.19;156;23.71;50.15;موهوب
سعود الزهراني;15;دفاع;27;65.38;3;5;61.27;29.14;10.67;175;26.26;44.75;غير موهوب
تركي الشمري;29;حارس;33;81.23;6;1;72.95;27.23;6.19;130;28.36;42.88;غير موهوب
عبدالله البلوي;21;وسط;20;85.55;2;2;45.22;25.34;7.39;175;34.89;44.15;غير موهوب
سعود الشمري;28;دفاع;36;75.32;4;2;56.02;28.46;6.93;177;21.32;45.23;موهوب
سعود البلوي;29;دفاع;34;68.92;0;1;88.96;26.24;7.21;115;23.20;40.50;غير موهوب
أحمد المالكي;25;حارس;82;79.27;2;3;84.31;31.41;9.81;145;45.11;53.55;موهوب
راكان العتيبي;22;وسط;35;70.84;0;0;52.01;30.97;7.22;129;41.87;40.77;غير موهوب
تركي الحربي;17;حارس;27;94.06;4;1;87.4;29.87;8.30;146;44.36;49.11;موهوب
راكان العتيبي;22;حارس;60;94.68;11;1;62.64;32.77;7.10;140;23.88;48.12;موهوب
سالم الرويلي;18;دفاع;56;91.89;0;1;40.77;24.68;10.62;126;46.53;44.17;غير موهوب
محمد الرويلي;26;وسط;63;60.79;2;1;81.58;24.99;6.28;140;26.07;45.08;موهوب
تركي الشمري;21;حارس;92;94.05;2;0;45.37;31.60;8.12;168;36.41;53.06;موهوب
خالد القحطاني;16;هجوم;46;84.35;1;0;88.12;29.62;7.08;126;15.21;44.15;غير موهوب
سعود الشمري;20;هجوم;58;88.80;6;1;41.04;28.43;8.06;127;17.51;41.76;غير موهوب
ناصر الغامدي;24;هجوم;29;87.85;6;3;86.16;28.92;9.00;147;14.81;45.75;موهوب
خالد القحطاني;30;وسط;65;67.53;9;1;71.02;29.07;10.80;147;19.77;46.69;موهوب
محمد البلوي;22;هجوم;39;94.81;0;1;65.39;24.94;11.01;146;17.36;44.39;غير موهوب
فهد الشمري;19;دفاع;74;78.75;5;0;45.21;25.06;8.61;140;13.82;43.38;غير موهوب
فهد الحربي;24;حارس;44;86.46;7;4;47.48;27.28;7.88;164;12.90;44.56;غير موهوب
عبدالله المالكي;27;هجوم;29;84.38;0;1;88.51;30.50;6.93;127;17.40;42.75;غير موهوب
سالم الشمري;23;وسط;77;66.98;6;4;45.28;28.38;7.36;162;28.17;47.24;موهوب
محمد العنزي;19;هجوم;87;88.14;2;0;84.72;34.07;8.38;124;17.84;49.57;موهوب
أحمد الزهراني;22;هجوم;70;84.45;0;0;66.92;33.18;7.22;159;33.95;50.52;موهوب
سعود الزهراني;19;حارس;30;67.33;6;3;84.43;33.53;9.16;169;29.92;48.04;موهوب
فهد البلوي;15;هجوم;88;81.83;2;0;50.85;23.83;8.76;136;42.82;48.23;موهوب
عبدالله العتيبي;25;وسط;72;71.04;6;2;77.88;28.01;7.05;117;34.91;46.21;موهوب
فهد البلوي;25;هجوم;69;77.78;3;0;74.35;29.74;11.54;152;11.28;47.63;موهوب
أحمد العتيبي;17;حارس;86;78.46;1;2;88.16;30.28;8.64;143;9.90;49.72;موهوب
سالم العتيبي;23;وسط;26;60.89;1;0;46.77;29.64;7.37;126;46.04;38.19;غير موهوب
أحمد القحطاني;17;دفاع;74;89.97;5;0;73.2;28.86;11.58;171;32.17;53.98;موهوب
فهد المالكي;27;وسط;23;76.25;6;4;73.04;30.01;9.48;135;45.19;44.66;غير موهوب
راكان الغامدي;23;دفاع;45;86.26;8;0;53.55;31.72;11.28;158;43.26;48.56;موهوب
عبدالله الحربي;23;دفاع;76;74.70;0;1;79.76;34.46;7.86;157;41.44;52.47;موهوب
أحمد الشمري;25;وسط;47;63.32;3;0;82.62;29.48;7.29;168;15.01;46.19;موهوب
فهد الرويلي;28;وسط;70;85.00;7;1;64.96;32.69;7.93;140;28.02;48.51;موهوب
فهد المالكي;17;وسط;27;88.47;6;2;66.15;33.77;6.85;166;35.30;47.95;موهوب
فهد الرويلي;18;حارس;47;78.20;4;1;87.68;32.36;7.23;129;24.05;45.61;موهوب
سالم الشمري;19;وسط;47;82.10;9;4;65.32;29.47;9.94;129;29.53;45.04;موهوب
محمد الزهراني;17;هجوم;63;88.75;4;3;66.77;34.54;8.80;151;44.49;51.59;موهوب
أحمد الزهراني;26;حارس;10;73.40;4;4;51.25;27.95;9.22;130;13.55;35.93;غير موهوب
راكان العنزي;17;وسط;54;62.17;11;1;40.88;27.95;9.36;121;48.47;41.76;غير موهوب
خالد البلوي;19;دفاع;31;61.18;4;0;42.01;29.29;8.77;131;11.52;35.42;غير موهوب
سعود الزهراني;24;دفاع;47;71.77;12;5;48.77;24.79;10.80;125;47.94;43.67;غير موهوب
أحمد العتيبي;21;وسط;29;85.00;4;0;88.99;30.42;7.36;154;48.83;49.73;موهوب
خالد الزهراني;25;وسط;75;66.05;1;0;58.4;31.15;9.91;137;35.05;45.95;موهوب
عبدالله العتيبي;20;دفاع;65;74.30;4;1;61.84;33.09;6.81;156;25.48;47.50;موهوب
سالم الزهراني;18;حارس;34;79.22;2;0;87.14;25.49;8.90;133;36.39;45.13;موهوب
ناصر المالكي;21;هجوم;80;92.85;3;0;43.94;32.35;9.13;169;26.81;50.79;موهوب
محمد الغامدي;27;وسط;19;69.48;1;1;79.22;31.82;6.36;141;27.25;41.79;غير موهوب
عبدالله الشمري;21;دفاع;31;68.40;8;2;81.71;29.39;9.25;116;29.28;41.67;غير موهوب
سالم الغامدي;23;وسط;81;86.98;3;4;63.27;29.97;5.66;129;17.68;46.73;موهوب
تركي الزهراني;18;هجوم;41;93.43;0;0;60.99;24.14;6.09;126;16.24;40.88;غير موهوب
ناصر الشمري;16;وسط;27;94.62;7;3;44.58;27.97;7.06;128;40.44;42.19;غير موهوب
أحمد الرويلي;23;حارس;14;86.70;5;5;85.79;24.30;7.57;135;27.28;43.40;غير موهوب
تركي البلوي;18;هجوم;69;90.28;7;2;41.02;29.64;10.12;122;36.09;45.24;موهوب
خالد المالكي;19;حارس;57;75.56;7;4;82.86;25.13;8.12;170;16.75;49.60;موهوب
محمد الشمري;25;حارس;36;62.67;8;2;54.78;31.99;8.56;180;42.45;47.38;موهوب
خالد الشمري;17;حارس;83;86.81;4;3;85.79;29.84;9.67;144;35.13;53.47;موهوب
سعود القحطاني;17;هجوم;12;90.06;0;1;49.16;25.89;6.68;141;28.96;39.42;غير موهوب
أحمد القحطاني;19;دفاع;39;60.57;0;2;42.16;25.59;9.98;165;34.95;42.14;غير موهوب
عبدالله الرويلي;21;هجوم;58;82.65;8;2;62.12;23.66;8.22;171;18.10;48.19;موهوب
أحمد المالكي;25;هجوم;70;79.33;3;0;63.34;29.41;7.88;122;32.75;45.30;موهوب
خالد القحطاني;21;هجوم;81;77.83;7;5;55.69;33.84;8.03;131;35.86;48.36;موهوب
فهد الحربي;21;حارس;11;93.27;11;5;80.42;28.43;7.74;154;23.91;46.09;موهوب
خالد الرويلي;16;وسط;34;64.01;6;1;45.04;27.35;10.60;123;17.20;36.47;غير موهوب
خالد الشمري;20;حارس;9;75.73;6;3;66.87;25.31;10.48;134;18.14;38.73;غير موهوب
عبدالله الشمري;17;هجوم;64;88.11;4;3;87.06;24.46;10.19;130;46.07;50.77;موهوب
فهد المالكي;18;وسط;38;67.03;0;0;58.85;26.38;10.44;135;10.51;38.47;غير موهوب
ناصر الحربي;26;هجوم;48;83.57;10;4;64.27;34.35;10.31;139;15.86;45.48;موهوب
تركي العتيبي;22;هجوم;91;74.23;3;3;57.38;28.24;10.11;148;25.78;48.97;موهوب
راكان الغامدي;26;دفاع;42;81.78;5;1;55.76;28.18;9.39;172;33.91;47.67;موهوب
فهد الرويلي;25;حارس;86;65.43;10;1;62.44;30.37;7.94;177;21.60;51.31;موهوب
أحمد الحربي;26;حارس;22;71.91;4;3;71.61;23.87;7.27;158;43.56;45.02;موهوب
فهد الرويلي;19;وسط;80;85.24;12;0;41.64;32.60;8.59;170;40.88;52.33;موهوب
فهد العنزي;27;هجوم;41;67.22;10;3;66.51;28.99;8.82;120;48.53;43.79;غير موهوب
فهد الرويلي;24;وسط;54;88.85;0;1;54.5;30.39;11.23;143;42.78;47.31;موهوب
عبدالله الشمري;19;دفاع;54;89.58;6;0;88.19;23.59;10.07;162;42.52;52.88;موهوب
راكان الغامدي;21;وسط;32;93.78;7;1;53.16;34.14;9.16;124;26.30;42.28;غير موهوب
سعود البلوي;20;دفاع;71;76.84;3;0;67.47;25.73;5.68;156;41.19;49.66;موهوب
فهد الرويلي;29;هجوم;43;71.28;6;3;88.85;24.20;11.04;139;37.64;47.11;موهوب
تركي القحطاني;17;حارس;45;65.78;3;2;79.92;26.65;8.67;165;37.91;48.21;موهوب
ناصر الزهراني;25;وسط;64;70.08;6;3;81.94;26.34;6.61;127;41.77;47.42;موهوب
تركي الغامدي;16;دفاع;63;90.15;6;6;55.34;27.98;10.82;134;27.78;46.79;موهوب
محمد الشمري;17;وسط;26;77.81;9;2;88.91;33.41;10.28;179;12.68;48.79;موهوب
سعود العتيبي;16;حارس;78;73.53;1;0;61.91;32.39;8.21;141;21.73;46.42;موهوب
محمد الرويلي;30;هجوم;22;93.83;5;5;68.39;27.18;7.78;149;21.30;44.39;غير موهوب
محمد القحطاني;22;هجوم;66;89.45;0;0;41.35;29.58;10.32;156;22.89;46.18;موهوب
محمد العنزي;27;دفاع;47;70.50;10;4;51.4;25.47;7.06;158;15.53;43.22;غير موهوب
محمد المالكي;23;دفاع;17;82.62;6;1;72.76;25.69;6.84;157;26.89;43.98;غير موهوب
خالد الحربي;20;وسط;80;92.76;4;1;45.04;32.00;5.63;147;21.54;47.66;موهوب
عبدالله العتيبي;27;وسط;70;85.24;2;2;86.65;28.74;6.84;157;18.19;50.74;موهوب
راكان العنزي;25;دفاع;14;72.55;10;3;53.57;27.81;8.96;155;34.52;42.16;غير موهوب
سالم القحطاني;25;دفاع;29;60.78;7;0;72.73;32.26;9.93;143;40.75;43.94;غير موهوب
تركي العنزي;28;هجوم;70;86.34;1;0;70.09;32.63;9.91;127;16.44;45.93;موهوب
سالم الحربي;27;هجوم;68;90.78;9;0;65.87;29.48;8.67;176;23.34;52.35;موهوب
أحمد المالكي;16;وسط;46;76.17;4;0;48.35;30.57;9.62;155;20.93;43.40;غير موهوب
راكان الشمري;20;وسط;42;69.26;1;0;74.74;30.18;9.64;137;41.64;45.05;موهوب
عبدالله الزهراني;19;وسط;72;64.29;8;0;50.53;26.87;10.53;178;12.23;46.94;موهوب
فهد الشمري;20;وسط;60;83.28;9;3;64.65;24.01;8.02;144;42.44;48.71;موهوب
سالم المالكي;24;وسط;50;86.16;6;1;75.59;26.91;9.18;140;14.98;45.53;موهوب
سعود الرويلي;18;دفاع;42;72.92;6;0;78.65;25.56;10.82;144;11.97;43.55;غير موهوب
تركي الحربي;25;هجوم;48;78.83;10;3;40.49;29.60;8.42;150;41.14;45.50;موهوب
عبدالله القحطاني;21;هجوم;39;87.78;0;0;78.76;30.62;9.02;130;8.67;42.65;غير موهوب
سعود العتيبي;17;هجوم;39;72.29;5;2;70.88;30.97;7.33;143;21.66;43.57;غير موهوب
فهد الحربي;19;هجوم;15;64.87;0;1;56.29;32.14;11.21;165;37.84;42.59;غير موهوب
أحمد الشمري;28;وسط;17;74.53;2;0;55.09;26.65;8.58;138;15.75;37.51;غير موهوب
عبدالله الشمري;24;دفاع;18;92.45;6;2;58.54;30.41;9.91;174;28.22;46.61;موهوب
فهد الرويلي;22;دفاع;44;83.27;1;0;67.36;32.91;10.84;126;35.33;44.52;غير موهوب
سالم العتيبي;23;حارس;44;90.61;3;1;54.13;28.97;6.81;122;19.13;41.07;غير موهوب
محمد الرويلي;24;دفاع;90;88.43;3;3;75.66;26.49;11.74;178;24.23;55.62;موهوب
تركي الغامدي;18;وسط;59;89.70;11;6;67.38;28.40;9.34;136;22.05;47.65;موهوب
أحمد الرويلي;21;هجوم;64;69.34;3;2;72.16;27.02;9.93;167;14.52;47.66;موهوب
أحمد الزهراني;27;دفاع;61;84.94;1;0;76.22;32.67;9.17;157;44.66;51.85;موهوب
تركي الغامدي;26;حارس;84;87.36;1;0;53.72;31.44;7.77;179;26.28;52.29;موهوب
عبدالله الرويلي;21;وسط;87;72.03;5;0;85.68;25.83;8.35;132;13.82;47.75;موهوب
سعود الرويلي;27;دفاع;40;83.18;4;0;75.79;26.43;7.54;155;31.38;47.04;موهوب
راكان الغامدي;28;حارس;30;72.68;3;2;56.45;31.63;10.05;124;23.52;39.26;غير موهوب
تركي الزهراني;20;دفاع;68;64.90;2;3;77.78;26.87;8.17;145;30.08;47.31;موهوب
راكان المالكي;20;وسط;59;94.67;6;4;58.14;29.08;11.90;177;37.31;53.01;موهوب
تركي الشمري;20;هجوم;79;92.38;6;3;48.12;23.68;9.51;151;24.23;48.55;موهوب
سعود الحربي;19;هجوم;21;73.53;1;0;75.06;27.60;6.18;123;44.18;41.28;غير موهوب
سعود المالكي;25;هجوم;69;72.36;5;2;64.16;28.41;10.67;164;12.66;47.58;موهوب
ناصر الرويلي;17;دفاع;89;87.73;9;0;79.18;32.37;9.39;136;22.46;51.68;موهوب
محمد القحطاني;18;وسط;12;91.53;0;3;70.54;24.59;10.46;171;46.88;47.78;موهوب
أحمد البلوي;17;هجوم;58;93.37;3;3;41.96;33.47;11.21;164;42.25;50.03;موهوب
خالد الشمري;21;دفاع;32;60.99;4;1;83.57;29.43;11.36;132;22.92;41.92;غير موهوب
خالد المالكي;28;هجوم;65;92.80;5;0;61.39;32.45;7.54;146;48.24;50.93;موهوب
فهد البلوي;20;وسط;40;79.98;3;2;52.91;30.29;9.95;138;23.79;42.21;غير موهوب
فهد العتيبي;23;وسط;69;78.92;8;4;40.9;32.14;7.81;130;25.94;44.08;غير موهوب
أحمد المالكي;25;هجوم;85;94.63;3;0;66.12;32.51;8.20;119;13.66;46.90;موهوب
أحمد البلوي;22;حارس;62;86.28;11;3;60.9;28.52;8.15;146;44.65;50.06;موهوب
عبدالله الغامدي;22;وسط;33;68.84;3;5;49.44;25.04;8.94;152;38.73;42.66;غير موهوب
أحمد الرويلي;18;دفاع;56;94.78;12;3;77.64;33.32;7.70;156;44.85;53.92;موهوب
فهد المالكي;23;وسط;40;76.07;9;2;87.89;32.83;9.08;141;29.02;47.43;موهوب
محمد الحربي;28;حارس;36;82.03;0;0;81.04;28.41;9.64;184;27.79;49.88;موهوب
عبدالله الزهراني;19;دفاع;65;88.87;7;4;89.81;25.46;9.01;142;12.96;49.35;موهوب
خالد الشمري;15;حارس;74;81.00;0;2;77.34;23.82;8.36;128;25.96;46.72;موهوب
راكان العنزي;25;وسط;92;86.95;11;2;81.09;30.36;6.79;132;25.94;52.01;موهوب
عبدالله الشمري;25;وسط;13;65.06;0;0;84.64;25.70;6.56;140;31.84;40.75;غير موهوب
عبدالله البلوي;25;دفاع;93;66.31;0;0;66.13;28.16;7.75;173;34.30;52.07;موهوب
فهد الشمري;17;هجوم;15;93.80;5;2;42.26;32.20;8.40;145;26.92;41.18;غير موهوب
تركي الغامدي;25;وسط;10;75.97;5;1;73.07;25.04;9.11;159;36.70;43.88;غير موهوب
أحمد الرويلي;27;وسط;89;81.55;2;0;53.69;32.04;6.82;124;32.94;46.89;موهوب
خالد الرويلي;26;دفاع;67;63.53;0;0;84.45;30.78;10.16;135;34.45;47.26;موهوب
عبدالله الغامدي;28;حارس;59;93.88;10;3;40.89;27.17;10.59;148;14.06;45.18;موهوب
تركي المالكي;28;دفاع;15;66.24;8;3;54.69;32.04;8.83;140;11.70;37.72;غير موهوب
خالد العنزي;19;حارس;12;67.70;1;1;45.77;31.79;9.54;137;28.06;37.10;غير موهوب
ناصر المالكي;20;وسط;66;61.46;4;1;68.28;26.11;9.62;168;21.71;47.35;موهوب
فهد الزهراني;27;وسط;22;87.78;6;1;74.6;30.19;6.78;133;24.99;42.93;غير موهوب
عبدالله الرويلي;16;دفاع;47;62.11;10;6;40.53;34.31;6.54;160;40.76;45.25;موهوب
محمد الزهراني;21;دفاع;76;90.71;4;3;85.66;29.29;11.38;181;26.77;56.42;موهوب
سعود المالكي;16;وسط;10;89.86;9;2;70.53;26.75;10.42;135;43.97;44.17;غير موهوب
محمد الحربي;26;حارس;62;72.25;8;3;64.11;27.38;10.28;154;10.64;45.74;موهوب
محمد العنزي;19;وسط;33;76.65;1;0;77.19;32.10;7.42;139;9.06;41.71;غير موهوب
خالد الغامدي;28;هجوم;26;85.90;8;3;60;31.75;8.40;125;43.58;43.51;غير موهوب
خالد البلوي;23;وسط;57;76.51;7;3;89.98;28.57;7.63;132;23.28;47.22;موهوب
سالم الرويلي;25;حارس;11;67.31;6;0;78.84;31.34;6.09;120;13.06;37.07;غير موهوب
محمد العنزي;27;هجوم;85;77.14;2;1;63.1;28.31;6.49;153;45.22;51.25;موهوب
خالد العنزي;25;وسط;38;61.31;9;0;52.7;33.39;5.89;134;41.84;41.79;غير موهوب
تركي القحطاني;20;وسط;14;70.15;2;1;70.45;30.62;7.34;145;25.53;40.68;غير موهوب
تركي البلوي;17;وسط;84;78.08;9;6;41.33;27.99;7.33;138;18.21;45.55;موهوب
ناصر الشمري;17;حارس;85;76.09;0;0;41.95;27.51;11.49;138;33.78;45.98;موهوب
تركي العتيبي;23;وسط;33;76.39;0;1;62.93;30.87;6.87;133;22.90;40.77;غير موهوب
سعود العنزي;26;حارس;9;88.25;0;0;71.52;27.38;6.12;161;24.26;43.06;غير موهوب
ناصر القحطاني;17;هجوم;27;91.16;1;1;46.67;28.13;9.04;160;32.01;44.00;غير موهوب
خالد الغامدي;15;دفاع;54;63.09;7;3;52.32;32.00;8.32;164;35.23;46.55;موهوب
فهد القحطاني;29;وسط;86;64.83;2;2;57.91;30.86;8.86;177;15.91;49.49;موهوب
فهد القحطاني;21;وسط;78;71.12;3;1;85.1;28.55;11.80;133;30.96;49.17;موهوب
خالد العتيبي;24;هجوم;55;71.91;6;2;57.47;32.81;8.36;138;47.47;46.56;موهوب
تركي الغامدي;26;حارس;45;79.16;6;1;63.4;26.14;9.04;124;27.92;42.41;غير موهوب
خالد القحطاني;24;دفاع;68;89.02;7;5;69.24;24.74;6.75;125;42.13;48.54;موهوب
عبدالله المالكي;28;هجوم;27;87.73;10;0;76.62;28.49;9.93;158;12.09;45.54;موهوب
سالم المالكي;20;هجوم;56;85.31;5;2;61.98;31.99;9.57;144;34.26;47.79;موهوب
تركي المالكي;20;دفاع;7;91.79;8;1;60.38;33.43;8.17;134;10.24;39.33;غير موهوب
سعود العتيبي;19;حارس;62;86.90;9;4;73.6;27.07;5.83;128;19.64;46.23;موهوب
تركي المالكي;19;هجوم;82;84.49;5;6;64.67;28.59;10.24;169;34.00;53.78;موهوب
سعود القحطاني;22;وسط;84;67.96;8;3;47.24;32.44;9.55;125;47.09;47.14;موهوب
راكان المالكي;22;دفاع;46;79.73;6;2;65.58;25.67;5.95;158;22.01;45.66;موهوب
ناصر الشمري;18;دفاع;36;70.01;5;2;71.51;25.92;8.29;120;47.03;42.86;غير موهوب
خالد الغامدي;21;دفاع;25;86.79;1;2;81.95;33.82;6.97;169;33.73;48.92;موهوب
أحمد البلوي;20;دفاع;76;68.67;7;3;48.23;28.99;11.54;148;36.30;47.53;موهوب
ناصر الزهراني;25;حارس;76;87.57;4;0;76.95;23.28;8.87;123;44.83;49.39;موهوب
فهد المالكي;20;هجوم;29;61.97;4;2;78.39;31.07;6.21;152;36.59;44.58;غير موهوب
ناصر الغامدي;28;هجوم;71;87.92;0;2;54.6;29.83;11.01;147;24.65;47.56;موهوب
عبدالله الحربي;22;وسط;44;80.76;1;0;70;33.96;9.16;159;17.40;46.14;موهوب
سالم الزهراني;19;هجوم;77;61.93;5;1;58.04;28.34;6.03;172;19.05;47.60;موهوب
فهد الحربي;24;دفاع;37;74.03;0;0;83.39;28.07;10.84;180;48.95;51.36;موهوب
محمد الغامدي;28;وسط;26;92.71;11;6;76.01;31.23;11.23;179;25.66;50.98;موهوب
أحمد العتيبي;22;وسط;69;77.73;6;0;72.38;30.16;10.44;131;20.08;46.31;موهوب
